Ticker,Announced,Expiration,Min Price ($),Max Price,Min Shares,Max Shares ,Min Value ($),Max Value ($),Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Shares Purchased
TPCG US,11/8/2010,12/23/2010,26.50,28.50,4.6,4.9,130.0,130.0,2.2,2.2,28.50,2.2
OPAY US,11/23/2010,1/20/2011,5.80,6.20,1.6,1.7,10.0,10.0,1.9,N/A,6.10,1.6
COHR US,2/10/2011,3/11/2011,53.00,59.00,1.3,1.3,67.4,75.0,0.5,0.5,59.00,0.5
BYI US,4/8/2011,5/6/2011,34.50,40.00,10.0,11.6,400.0,400.0,9.9,9.9,40.00,9.9
FBRC US,8/2/2011,8/29/2011,2.55,2.75,6.0,6.0,15.3,16.5,6.1,N/A,2.55,6.1
WTM US,8/17/2011,9/15/2011,385.00,435.00,0.3,0.3,115.5,130.5,0.3,N/A,415.00,0.3
GLCH US,9/14/2011,11/22/2011,1.25,1.35,6.0,6.0,7.5,8.1,6.6,N/A,1.25,6.6
WTM US,10/14/2011,11/14/2011,385.00,425.00,0.3,0.3,115.5,127.5,0.0,0.0,425.00,0.0
NSR US,11/3/2011,12/2/2011,31.25,36.00,6.9,8.0,250.0,250.0,8.1,N/A,34.50,7.2
AMGN US,11/7/2011,12/7/2011,54.00,60.00,83.3,92.6,"5,000.0","5,000.0",94.9,94.9,60.00,83.3
SHAW US,10/31/2011,12/14/2011,22.25,25.25,5.9,6.7,150.0,150.0,6.6,N/A,24.25,6.2
FBRC US,12/1/2011,12/28/2011,1.80,2.00,5.0,5.0,9.0,10.0,0.0,0.0,2.00,0.0
WTW US,2/15/2012,3/28/2012,72.00,83.00,8.7,10.0,720.0,720.0,9.0,N/A,82.00,8.8
WBMD,2/24/2012,4/3/2012,24.50,26.00,5.8,6.1,150.0,150.0,18.0,N/A,26.00,5.8
VR US,5/3/2012,6/5/2012,30.50,33.50,6.0,6.6,200.0,200.0,6.4,25.6,32.00,6.4
GBLI,5/9/2012,6/8/2012,19.25,22.00,2.8,3.2,61.0,61.0,2.9,N/A,21.75,2.9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
